"ID","Age","Gender","Education","Race","Income","Health","Q185","Q183","X0_5_95","X0_50_50","X0_10_90","X0_15_85","X0_20_80","X0_25_75","X0_30_70","X0_35_65","X0_40_60","X0_45_55","CT1","CT2","X0.5_5_95","X0.5_50_50","X0.5_10_90","X0.5_15_85","X0.5_20_80","X0.5_25_75","X0.5_30_70","X0.5_35_65","X0.5_40_60","X0.5_45_55","CT1.1","CT2.1","n0.5_5_95","n0.5_50_50","n0.5_10_90","n0.5_15_85","n0.5_20_80","n0.5_25_75","n0.5_30_70","n0.5_35_65","n0.5_40_60","n0.5_45_55","CT1.2","CT2.2","X5_5_95","X5_50_50","X5_10_90","X5_15_85","X5_20_80","X5_25_75","X5_30_70","X5_35_65","X5_40_60","X5_45_55","CT1.3","CT2.3","n5_5_95","n5_50_50","n5_10_90","n5_15_85","n5_20_80","n5_25_75","n5_30_70","n5_35_65","n5_40_60","n5_45_55","CT1.4","CT2.4","Q241","Q243","Q245","Q247","Q249","Q251","Q173","Q174","Q175","Q176","Q177","Q177_5_TEXT","Q178","Q179","Q179_6_TEXT","Q11","Q13","Q15","Q17","Q19","Q21","Q23","Q25","Q27","Q199_1","Q199_2","Q199_3","Q199_4","Q199_5","Q199_6","Q201_1","Q201_2","Q201_3","Q201_4","Q201_5","Q201_6","Q203_1","Q203_2","Q203_3","Q203_4","Q203_5","Q203_6","Q204_1","Q204_2","Q204_3","Q204_4","Q204_5","Q204_6","Q211","Q213","Q215","Q217","Q219","Q221","Q223","Q225_1","Q225_2","Q227","Q229","Q231","Q233","Q235","Q237","Q224","Q226","Q228","Q230","Q232","Q234","Q236","Q238","Q240","Q242","Q245.1"
167,41,"1","3","1","5","3","2","2","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","5","5","5","2","","","","","","","","","5","1","7","2","","","","","","3","1","3","4","3","2","3","3","4","3","3","4","3","3","4","3","3","3","1","4","2","3","3","2","500","1","0.01","3","2","2","2 in 5","10","1","20","1","1","9","4","2","3","3","3","3","3","3","3","3","3","3","5/31/78"
168,77,"1","4","1","8","3","2","1","1","2","1","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","5","3","3","5","5","1","5","5000","4","1","","","","","6","2","7","1","1","2","","1","","3","1","2","2","4","2","3","2","2","4","2","3","2","3","2","3","2","4","2","4","2","4","3","2","500","10","0.1","3","2","2% in 10 years","1 in 50 in ten years","10","100","20","5","1","50%","64","2","5","5","5","5","5","5","4","6","3","3","8/28/41"
169,80,"1","3","1","7","3","1","2","","","","","","","","","","","","","","","","","","","","","","","","","2","1","2","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","4","2","4","5","4","4","2","","","","","","","","","5","4","6","1","1","1,2","","1","","2","2","3","3","3","2","3","1","1","2","1","2","2","2","2","2","1","4","1","3","1","3","1","2","50110","10","0.01","3","2","2 per cent in 10 yrs","1 percent in 20 years","10","100","80","5","1","10","64","3","3","1","3","2","3","3","5","2","2","2","3/17/39"
170,78,"1","2","1","6","4","2","2","2","2","1","2","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","2","3","5","4","4","1","6","10000","4","1","","2","2","","5","2","6","1","6","2,3,4","","1","","4","2","2","2","4","2","2","2","2","3","2","3","2","2","2","2","1","4","1","4","2","2","2","1","500","10","0.0001","3","2","2","2in 100","10","100","80","50","1","10","16","3","4","2","2","3","2","2","3","3","4","3","9/3/40"
171,45,"1","2","1","7","4","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","","5","4","5","5","5","5","1","1","10000","4","1","","2","2","","4","2","7","2","","","","","","4","1","4","1","5","1","3","3","3","4","3","3","3","3","3","1","1","5","1","5","1","5","3","1","500","100","1000","3","2","2%","50","10","100","10 out of 50","5","1","9%","100","3","5","4","5","4","4","5","1","4","5","4","12/27/73"
172,31,"1","1","8","1","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","5","3","5","3","5","3","1","Yes. This. Many. Help. My","10000","1","5","Are. Now","2","6","Are now","7","7","7","2","","","","","","4","2","3","4","2","2","3","3","3","3","3","3","3","3","3","3","3","3","5","4","4","3","3","4","1000","1000","1000","2","3","Yes","100","100","1000","Yes","10000","2","81","300","1","3","6","3","4","4","5","3","5","5","4","07 31 1987"
173,64,"1","4","1","2","5","2","2","","","","","","","","","","","","","2","1","2","2","2","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","3","3","3","4","3","2","","","","","","","","","6","1","7","2","","","","","","4","2","4","2","4","2","2","2","2","4","2","4","2","2","2","2","1","4","1","4","2","4","2","2","500","10","0.1","3","2","2","1 in 50","10","100","80","5","1","10","64","3","5","5","6","5","5","4","4","5","4","4","6/27/55"
174,43,"1","2","1","6","3","1","2","","","","","","","","","","","","","1","2","2","1","2","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","4","3","4","2","2","","","","","","","","","1","1","7","2","","","","","","3","5","2","4","3","4","3","3","3","2","3","2","1","3","3","4","3","4","1","3","1","2","2","2","40010","10","10","2","1","2 percent ","1 in 200","10","100","80","1","1","She does","10","1","1","1","1","1","1","1","1","1","2","2","1/6/76"
175,77,"1","4","1","6","5","2","2","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","5","4","4","2","3","2","1","1","40000","4","2","","2","2","","5","2","6","2","","","","","","4","2","4","2","3","2","4","3","3","4","2","2","2","2","2","2","1","4","2","4","2","4","3","1","500","10","0.1","3","2","2","0.2","10","100","80","5","1","90","64","3","5","5","4","4","4","3","4","5","4","4","6/6/42"
176,59,"1","3","1","2","4","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","","4","2","4","4","4","4","2","","","","","","","","","7","7","6","2","","","","","","3","2","4","5","3","3","2","2","2","2","2","4","3","4","4","4","4","4","2","4","3","4","2","3","500","10","10","1","2","50","10","50","100","20","10","1","10010","10","2","1","1","1","1","1","1","1","1","1","1","6/20/60"
177,30,"1","4","1","6","3","2","1","","","","","","","","","","","","","1","1","2","2","2","1","2","1","1","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","4","4","1","2","3","1","4","1000","1","2","","2","4","","4","3","3","2","","","","","","2","3","1","3","4","2","1","2","1","3","2","3","2","3","4","2","3","2","2","3","2","4","3","4","500","10","1","3","2","1% in 5 years","1 in 100 in 5 years","10","100","80%","1","1","9%","14","2","3","3","3","3","3","3","3","3","3","3","7/7/88"
178,55,"1","2","1","1","5","2","2","","","","","","","","","","","","","","","","","","","","","","","","","2","1","1","2","1","1","1","1","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","5","5","5","2","","","","","","","","","7","7","7","2","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","10","10","1","2","1","1","1","1","10","20","1","1","2","2","1","1","1","1","1","1","1","1","3","5","3","10/14/63"
179,38,"1","2","1","3","4","2","2","","","","","","","","","","","","","1","1","2","2","2","2","2","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","3","3","3","1","1","1000","3","1","","2","1","","7","7","7","1","1","2","","2","","1","2","3","4","5","4","3","2","1","2","3","4","5","4","3","2","1","2","3","4","5","4","3","2","500","1000","0.01","3","2","2%","2","10","100","5","9403","1","I don't know ","64","1","3","3","4","4","3","4","3","4","3","4","7/9/80"
