"ID","Age","Gender","Education","Race","Income","Health","Q185","Q183","X0_5_95","X0_50_50","X0_10_90","X0_15_85","X0_20_80","X0_25_75","X0_30_70","X0_35_65","X0_40_60","X0_45_55","CT1","CT2","X0.5_5_95","X0.5_50_50","X0.5_10_90","X0.5_15_85","X0.5_20_80","X0.5_25_75","X0.5_30_70","X0.5_35_65","X0.5_40_60","X0.5_45_55","CT1.1","CT2.1","n0.5_5_95","n0.5_50_50","n0.5_10_90","n0.5_15_85","n0.5_20_80","n0.5_25_75","n0.5_30_70","n0.5_35_65","n0.5_40_60","n0.5_45_55","CT1.2","CT2.2","X5_5_95","X5_50_50","X5_10_90","X5_15_85","X5_20_80","X5_25_75","X5_30_70","X5_35_65","X5_40_60","X5_45_55","CT1.3","CT2.3","n5_5_95","n5_50_50","n5_10_90","n5_15_85","n5_20_80","n5_25_75","n5_30_70","n5_35_65","n5_40_60","n5_45_55","CT1.4","CT2.4","Q241","Q243","Q245","Q247","Q249","Q251","Q173","Q174","Q175","Q176","Q177","Q177_5_TEXT","Q178","Q179","Q179_6_TEXT","Q11","Q13","Q15","Q17","Q19","Q21","Q23","Q25","Q27","Q199_1","Q199_2","Q199_3","Q199_4","Q199_5","Q199_6","Q201_1","Q201_2","Q201_3","Q201_4","Q201_5","Q201_6","Q203_1","Q203_2","Q203_3","Q203_4","Q203_5","Q203_6","Q204_1","Q204_2","Q204_3","Q204_4","Q204_5","Q204_6","Q211","Q213","Q215","Q217","Q219","Q221","Q223","Q225_1","Q225_2","Q227","Q229","Q231","Q233","Q235","Q237","Q224","Q226","Q228","Q230","Q232","Q234","Q236","Q238","Q240","Q242","Q245.1"
147,68,"1","4","1","6","3","1","2","2","1","2","2","2","2","2","2","2","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","4","4","4","4","4","1","2","5000","3","3","","2","2","","4","2","5","2","","","","","","2","2","2","2","3","2","2","1","2","3","2","3","2","3","2","2","2","3","2","3","2","3","2","2","500","10","0.1","3","2","2%","2","10","100","80","5","1","10","64","1","4","4","6","4","4","5","3","4","4","4","6/9/51"
148,77,"2","4","1","13","3","2","1","","","","","","","","","","","","","1","2","1","1","1","2","1","2","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","3","4","4","4","4","1","1","80000","4","3","","2","4","","4","3","6","1","5","6","a pyramid scheme from neighbors","5","neighbor across the street","4","2","4","2","3","3","3","3","3","4","3","2","3","2","2","2","2","3","1","4","2","4","3","2","50","1","0.1","3","2","2%","2 in 100","10","100","80","5","1","9 out of 10","64","2","3","3","4","4","4","4","5","4","4","4","11/13/41"
149,79,"2","2","1","2","3","2","2","2","2","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","2","4","2","3","2","2","","","","","","","","","3","1","7","2","","","","","","4","1","2","2","4","2","1","1","3","4","2","1","2","1","1","1","1","4","1","4","1","4","2","1","350","2","1","1","3","2%","2 in 200","10","100","80%","1","1","Not likely","2","1","1","1","1","1","1","1","1","1","4","3","4/22/40"
150,77,"2","2","1","5","4","2","2","","","","","","","","","","","","","1","2","1","1","1","2","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","1","3","5","2","2","2","","","","","","","","","1","1","7","2","","","","","","2","1","3","2","4","1","3","2","1","2","1","3","1","3","1","3","1","5","1","5","2","5","2","1","500","5","10","3","2","2% in 10 years","2 in 100","10","100","5%","5","1","1048","48","1","1","1","1","1","1","1","1","1","3","1","3/14/42"
151,26,"2","2","1","6","3","1","2","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","1","1","1","2","2","1","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","3","2","4","2","2","3","1","6","17000","3","3","","1","","","1","4","5","2","","","","","","4","5","2","2","4","4","4","2","4","2","3","3","5","2","2","2","3","4","3","3","3","5","1","4","700","6","40","2","3","2","2","57","3","6784","45","1","68","78","2","3","3","3","2","5","1","5","3","3","3","7/6/63"
152,32,"2","2","1","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","1","1","1","2","1","1","1","1","2","2","5","4","4","3","2","2","","","","","","","","","7","1","1","2","","","","","","3","3","2","4","2","5","1","1","1","1","1","5","1","4","3","4","3","2","1","1","4","1","1","4","100","100","10","3","2","2","2 in 50","10","100","2 in 5","1","1","9 in 10","13","2","1","1","1","1","1","1","1","1","1","1","9/25/86"
153,41,"2","4","1","8","4","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","2","2","1","1","1","2","3","2","3","3","3","3","1","2012","25000","3","3","","","","","6","5","5","2","","","","","","3","1","1","4","3","2","3","3","1","1","2","2","2","3","2","2","2","2","2","2","3","3","5","2","240","10","100","1","3","2","2","10","100","10","5","2","5","6","2","4","4","5","5","5","4","4","4","4","4","12/3/77"
154,41,"2","4","1","9","3","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","2","1","2","2","2","2","2","1","1","2","3","2","4","3","3","3","2","","","","","","","","","4","4","4","2","","","","","","2","4","2","4","2","4","1","2","2","2","1","2","1","2","2","2","2","2","2","2","4","2","1","2","500","10","0.1","3","2","2","2","10","100","80","5","1","9","16","2","3","2","2","3","2","2","2","3","3","3","10/7/77"
155,31,"1","2","3","3","5","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","","3","3","3","3","3","3","2","","","","","","","","","1","1","1","2","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","1","3","1","1","500","0.1","0.001","3","2","2","1 in 50","10","1","80%","5","1","1","64","2","1","1","1","1","1","1","1","1","1","1","2/6/85"
156,36,"2","3","1","7","4","1","2","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","1","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","2","4","4","4","4","2","2","","","","","","","","","4","5","5","1","1","3","","1","","4","1","5","1","4","1","2","2","1","3","2","2","4","1","1","1","2","4","1","4","2","4","4","2","500","10","0.01","3","2","2","2","10","100","80","5","1","90","64","3","4","4","5","4","5","5","5","5","4","4","7/25/82"
157,37,"2","3","1","1","3","2","2","2","2","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","2","4","4","4","4","2","","","","","","","","","1","1","7","2","","","","","","2","2","2","3","2","2","1","1","2","2","2","1","2","2","2","2","1","2","1","2","2","2","1","1","40","5","1","3","2","10","50","1","10","20","1","1","Not likely","20","3","1","1","1","1","1","1","3","1","3","2","7/8/81"
158,29,"1","2","2","4","4","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","1","2","1","2","2","2","1","1","1","2","4","5","4","4","2","2","2","","","","","","","","","5","1","7","2","","","","","","5","1","5","1","5","5","5","5","1","5","3","3","5","1","5","1","5","5","1","5","1","5","1","1","50","5","1","3","2","2 in 20","2 in 200","1","2","2 out of 100","3","1","12","4","2","4","5","3","5","4","1","5","3","5","3","10/20/89"
159,42,"2","2","1","1","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","20","30","2","1","","1","","","1","7","1","2","","","","","","5","5","5","5","5","5","1","5","1","5","5","1","5","5","5","5","5","5","5","5","5","5","5","5","2","32","2","3","3","C","2","6","5","80","6","1","90","12","1","6","5","2","6","1","1","1","1","2","2","1/28/77"
160,76,"2","3","1","3","3","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","2","1","2","4","4","4","3","4","4","2","","","","","","","","","3","3","4","1","2","1,4","","1,4","","4","2","3","4","3","4","2","1","3","2","3","4","2","3","3","2","1","3","1","4","2","3","3","2","500","10","0.001","3","3","2%","2 on 100 in ten years","10","100","80 out of 100","5","1","5.5","64","3","2","2","2","2","2","2","2","2","2","2","12/20/42"
161,47,"2","1","1","3","4","2","1","","","","","","","","","","","","","","","","","","","","","","","","","1","2","2","1","2","2","2","2","1","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","3","4","5","3","5","3","2","","","","","","","","","4","4","7","1","1","3","","1","","3","2","3","3","4","3","2","4","3","3","2","3","2","2","3","3","2","4","2","2","3","3","2","2","500","0.5","1","3","2","50%","50 in 100 ","1","10","80%","0","1","10%","20","1","3","3","4","3","4","3","6","4","4","4","5/1/72"
162,54,"2","4","1","8","5","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","5","4","2","5","4","5","2","","","","","","","","","4","1","7","1","1","2","","4","","3","1","3","2","3","1","1","1","1","4","2","2","2","3","1","1","1","3","1","4","2","4","1","1","500","10","10","3","2","2","2","10","100","80","5","1","10","3","3","1","1","5","2","2","1","2","2","4","2","5/16/65"
163,48,"2","3","1","2","3","2","2","2","2","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","3","4","3","5","4","2","","","","","","","","","1","1","7","2","","","","","","2","4","2","5","1","4","1","3","2","2","1","2","1","1","1","3","3","1","3","3","3","2","2","5","850","2","5","3","2","2","2","10","100","80","1","1","70","7","2","2","2","2","2","2","2","2","2","2","2","4/8/71"
164,83,"1","4","1","6","3","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","2","2","2","2","2","2","2","1","1","2","","","","","","","","","","","","","5","1","4","3","3","5","1","5","25000","1","2","","","","","5","1","7","1","1","2","","1","","3","1","2","3","2","1","1","2","2","4","1","4","1","2","2","3","2","4","1","4","2","4","1","1","500","10","1","3","2","2","2","10","100","80","5","1","10","64","1","4","2","5","2","3","2","1","4","5","3","7/7/35"
165,75,"2","3","1","8","5","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","4","2","2","4","4","4","1","10","50000","4","2","","","","","3","2","7","1","6","3","","1","","4","2","3","2","4","2","2","2","2","4","2","3","3","3","2","2","2","4","2","4","2","3","2","1","500","10","0.001","3","2","2%","2 in 100","10","100","80%","5","1","9%","64","3","3","1","3","1","6","1","3","3","4","3","2/1/44"
166,75,"1","4","1","5","5","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","1","1","2","4","2","4","4","4","4","1","1","400","4","1","","","","","7","1","7","1","1","2","","1","","4","2","3","2","4","1","2","2","2","3","1","2","1","2","1","2","1","4","2","4","1","3","2","2","500","10","1","3","2","2","2","10","1","80","5","1","18","40","1","5","4","5","3","4","4","4","3","5","3","7/3/43"
